date,SMB,HML
2014-10-01,-0.538163393627486,0.7693077303663098
2014-11-01,-0.24652907468394983,0.08762801916055503
2014-12-01,0.5454904703609101,-0.27685173700331733
2015-01-01,0.26981558546858847,1.2000233290542166
2015-02-01,-0.45242089344959413,-0.5776733529389722
2015-03-01,0.7896950081323745,0.13595206564015738
2015-04-01,0.7367294105173943,-0.4798303248372942
2015-05-01,-0.08315734862570574,-0.6964180839940592
2015-06-01,0.8711773724561196,0.4795617808842913
2015-07-01,0.5322262504201195,-0.9711735861158117
2015-08-01,0.4426899442508116,0.18259959102178994
2015-09-01,-0.8928386458402257,0.6835156354680831
2015-10-01,-0.6148431373835385,0.5344809621319702
2015-11-01,1.4785264431035035,0.3052587848112275
2015-12-01,-0.01357436594086181,0.4051187005199594
2016-01-01,-0.18404340485529028,-0.24643286253525953
2016-02-01,0.6655449545608333,-0.3165230800807898
2016-03-01,0.1509948616640118,-0.48468425222848244
2016-04-01,0.09209315867656191,-0.061472879443132025
2016-05-01,0.09770359716641279,-0.1346008910022245
2016-06-01,-0.16310608213054237,0.2214319056364193
2016-07-01,0.04215678440086009,-0.6620010322400965
2016-08-01,0.4111740175999126,-0.13578690692823414
2016-09-01,1.0902507360730895,1.0866185626918758
2016-10-01,0.8665660211998231,-0.09233011487818579
2016-11-01,0.5959432371685686,0.21781469086500888
2016-12-01,0.2788823894128603,0.2791338793479776
2017-01-01,0.11994771550991963,0.14974126701937684
2017-02-01,0.47849565620345286,0.639252471751506
2017-03-01,0.13628343804989582,0.774242610627867
2017-04-01,0.28040137295738293,0.3726704975950058
2017-05-01,0.7974637412082292,-0.3963368214852213
2017-06-01,-0.1444552200472966,-0.9491491085321955
2017-07-01,-0.6757847521857684,0.9541354558178088
2017-08-01,0.3965871545419292,0.29976811202540443
2017-09-01,0.653274948616718,0.211324214179557
2017-10-01,0.656332356624739,-0.0814837052385882
2017-11-01,0.8358330746690713,-0.34482983471963463
2017-12-01,0.2715542592210326,-0.02436329711204288
2018-01-01,-0.19132839685889144,0.5625960477014789
2018-02-01,0.20829738673984444,-0.3658342658171543
2018-03-01,-0.2729480988851702,-1.245929878725105
2018-04-01,0.36564573412181617,-0.6846391615847109
2018-05-01,-1.3415407793897574,-0.03787454077506058
2018-06-01,0.29901621225080394,1.1327217608009943
2018-07-01,-0.4342029071402779,0.3428949733724107
2018-08-01,0.04719333953698668,-0.352917476164582
2018-09-01,-2.3276114568331425,-1.232251853435818
2018-10-01,0.10907130229691182,-0.9672336970369766
2018-11-01,0.29228093777796577,-0.45806228235948765
2018-12-01,0.6052951052486311,-0.014648563829909658
2019-01-01,-0.4874464862621259,-0.2524906380935318
2019-02-01,0.5316617898589554,0.8863801070409912
2019-03-01,-0.48197719843997544,0.7456270061055902
2019-04-01,-1.526479187637335,-0.3970734899056291
2019-05-01,-1.1127507611281757,-0.728967370370548
2019-06-01,0.5800091474376994,-0.9722016334022452
2019-07-01,-0.7658930497870231,0.07257699870066431
2019-08-01,-0.1970816754244189,-0.23912104162300168
2019-09-01,-2.228291401587807,-0.5086323237269663
2019-10-01,0.584157271202474,-0.17904094877200077
2019-11-01,1.2727089254211115,-0.27588748455772816
2019-12-01,0.9705614132063585,0.8563850354489211
2020-01-01,1.27731507471704,-1.5429871820358325
2020-02-01,-0.5261485541294126,-1.828421215130144
2020-03-01,-1.7327275025561744,1.5531179918286946
2020-04-01,-4.7997143275514125,3.014981178338677
2020-05-01,-1.0605339735344264,0.535977783710637
2020-06-01,-0.46781151131223203,-0.39443756890370985
2020-07-01,-0.16109685165072238,-0.6556745290796715
2020-08-01,-2.6841163233128955,-0.15924636649929003
2020-09-01,0.4341561570234063,-1.1128407959889983
2020-10-01,-0.42160131452284416,0.7518639797333209
2020-11-01,1.3926774918016838,-0.7487943655902392
2020-12-01,0.40993937062502583,0.4399483160049028
2021-01-01,1.3315457115852396,0.41897273940078417
2021-02-01,2.4540561695064333,0.23378973345361131
2021-03-01,0.24099830731125196,-0.4149269341409282
2021-04-01,-0.05289452049631623,1.3599883232104824
2021-05-01,-0.6341643009075028,0.13854116036674313
2021-06-01,0.6428618106574994,-0.3332328781093352
2021-07-01,0.009379327191022987,0.0450859897077468
2021-08-01,-0.7469195168731212,0.14709960447759335
2021-09-01,0.9766962098221693,0.545864440362795
2021-10-01,0.07370287941839715,0.26522203095359004
2021-11-01,1.7123319559589234,-1.5847947138116418
2021-12-01,0.023714786509106373,-0.13163690136245654
2022-01-01,-0.9789421417151286,-0.5915564422131077
2022-02-01,-1.5361682495001319,1.667619026053959
2022-03-01,-0.026306177129895875,-0.05774209256424395
2022-04-01,0.20542178330031458,-0.25567346387492984
2022-05-01,-0.09320049989780088,0.940576596237416
2022-06-01,-0.041826996232742976,-0.9961638546667535
2022-07-01,-0.8173112037981642,1.0133046672616213
2022-08-01,-0.5312623248069164,0.14029618251668652
2022-09-01,-0.009042075982523415,0.6481874638596861
2022-10-01,-0.28813218222251696,-0.7068375154133462
2022-11-01,-0.254119316126972,0.05175015213762252
2022-12-01,0.6590682883935259,0.5650338675571448
2023-01-01,1.6348403135959195,0.6041825615887167
2023-02-01,0.694285740968324,-1.1264983696033444
2023-03-01,-0.26496728653465745,-0.6139423124130029
2023-04-01,-0.0357060963927032,-0.3490223281348664
2023-05-01,1.0410966002033526,-0.4834127792803997
2023-06-01,-0.3131605748410861,-0.12898191202866116
2023-07-01,0.2718095612606529,0.690493576154295
2023-08-01,1.095455840693063,-0.18418203056819532
2023-09-01,-0.66257698703861,1.7741056658384982
2023-10-01,0.3276524831036164,0.04272052117516636
2023-11-01,0.3021637991141813,0.3291064355248429
2023-12-01,0.6156901823534132,-0.45859083162793457
2024-01-01,0.5350602080373806,-0.16401986229395377
2024-02-01,0.09576619324280711,-0.16522541099003482
2024-03-01,-0.6279266112463672,-0.29544506138711385
2024-04-01,0.06690492563636853,-0.5421924310930641
2024-05-01,-0.16005726438531384,0.43698523130183625
2024-06-01,-0.23242397958248717,0.4473096592906232
2024-07-01,-0.6056595692889916,0.49637305607607285
2024-08-01,0.19828078779566613,0.187874029996019
2024-09-01,0.716779106092118,0.5637470855516151
2024-10-01,1.9404500021488473,-0.3671209847981034
2024-11-01,-0.14550304170344394,0.1742909835341762
2024-12-01,0.6258759097038031,0.90401889071581
2025-01-01,0.3816969560206071,0.10471101728301768
2025-02-01,-0.6403420840750867,0.6550804848493355
2025-03-01,-0.29826117277250613,-0.1284385055934809
